"","atax","atay","trx","try","ataturk","turkiye"
"330",0.2891,0.6049,0.082,-5e-04,0.447,0.04075
"331",0.2859,0.9132,0.0821,-0.0126,0.59955,0.03475
"332",0.286,0.8939,0.0809,0.9655,0.58995,0.5232
"333",0.2891,0.7592,0.0814,0.7759,0.52415,0.42865
"334",0.2916,0.7407,0.0832,0.6615,0.51615,0.37235
"335",0.2916,0.69,0.0849,0.0355,0.4908,0.0602
"336",0.2928,0.6724,0.085,-6e-04,0.4826,0.0422
"337",0.2897,0.8722,0.085,-0.0106,0.58095,0.0372
"338",0.2898,0.8519,0.0851,-0.0367,0.57085,0.0242
"339",0.29,0.8379,0.0851,-0.0438,0.56395,0.02065
"340",0.2929,0.8262,0.0838,0.9654,0.55955,0.5246
"341",0.2949,0.5822,0.0843,0.7798,0.43855,0.43205
"342",0.3006,0.2304,0.0865,-0.0267,0.2655,0.0299
"343",0.2957,0.7789,0.0861,0.6594,0.5373,0.37275
"344",0.2987,0.5456,0.0878,0.0344,0.42215,0.0611
"345",0.2915,0.6259,0.0879,0.0053,0.4587,0.0466
"346",0.2979,0.7207,0.0872,-0.0027,0.5093,0.04225
"347",0.3004,0.7024,0.0879,-0.0117,0.5014,0.0381
"348",0.3035,0.3785,0.088,-0.0459,0.341,0.02105
"349",0.3001,0.6537,0.0867,0.9704,0.4769,0.52855
"350",0.2962,0.9824,0.0873,0.7798,0.6393,0.43355
"351",0.2957,0.9662,0.0875,0.6895,0.63095,0.3885
"352",0.3001,0.8064,0.0875,0.6814,0.55325,0.38445
"353",0.3028,0.7886,0.0894,-0.0208,0.5457,0.0343
"354",0.3046,0.5257,0.089,0.6744,0.41515,0.3817
"355",0.3067,0.3536,0.0891,0.6583,0.33015,0.3737
"356",0.307,0.3354,0.0908,0.0353,0.3212,0.06305
"357",0.3072,0.3214,0.0908,0.0112,0.3143,0.051
"358",0.3074,0.3074,0.0909,-0.0148,0.3074,0.03805
"359",0.3076,0.2934,0.0912,-0.0403,0.3005,0.02545
"360",0.3078,0.2794,0.0902,-0.0469,0.2936,0.02165
"361",0.308,0.2654,0.0897,0.9683,0.2867,0.529
"362",0.3087,0.2519,0.0902,0.7787,0.2803,0.43445
"363",0.3045,0.5923,0.0904,0.6914,0.4484,0.3909
"364",0.3011,0.9205,0.0905,0.6663,0.6108,0.3784
"365",0.3007,0.9014,0.0917,-0.0229,0.60105,0.0344
"366",0.3009,0.8874,0.0913,0.6593,0.59415,0.3753
"367",0.3071,0.5098,0.0937,0.0372,0.40845,0.06545
"368",0.3046,0.7525,0.0938,0.0142,0.52855,0.054
"369",0.3058,0.7348,0.0939,-0.032,0.5203,0.03095
"370",0.3074,0.5689,0.0926,0.9622,0.43815,0.5274
"371",0.3066,0.6826,0.0931,0.7766,0.4946,0.43485
"372",0.3091,0.6643,0.0934,0.6913,0.4867,0.39235
"373",0.305,0.8654,0.0966,0.0371,0.5852,0.06685
"374",0.305,0.845,0.0967,0.0181,0.575,0.0574
"375",0.3052,0.831,0.0968,-0.0271,0.5681,0.03485
"376",0.3081,0.8197,0.0956,0.9621,0.5639,0.52885
"377",0.3109,0.4964,0.0961,0.7755,0.40365,0.4358
"378",0.3128,0.3945,0.0963,0.6892,0.35365,0.39275
"379",0.3157,0.2387,0.0996,0.037,0.2772,0.0683
"380",0.3161,0.2206,0.0996,0.02,0.26835,0.0598
"381",0.3109,0.7725,0.0997,-0.0071,0.5417,0.0463
"382",0.3143,0.5487,0.0997,-0.0141,0.4315,0.0428
"383",0.3134,0.7148,0.099,-0.0211,0.5141,0.03895
"384",0.3145,0.6972,0.0985,0.972,0.50585,0.53525
"385",0.3188,0.3704,0.0978,0.964,0.3446,0.5309
"386",0.3153,0.6459,0.099,0.7754,0.4806,0.4372
"387",0.3118,0.9867,0.0993,0.6851,0.64925,0.3922
"388",0.3101,0.9709,0.0993,0.669,0.6405,0.38415
"389",0.3153,0.8002,0.1008,0.662,0.55775,0.3814
"390",0.318,0.7824,0.1025,0.0359,0.5502,0.0692
"391",0.3204,0.5314,0.1025,0.0249,0.4259,0.0637
"392",0.3207,0.3467,0.1026,-0.0082,0.3337,0.0472
"393",0.3199,0.3264,0.1014,0.9749,0.32315,0.53815
"394",0.3196,0.3118,0.102,0.7773,0.3157,0.43965
"395",0.3198,0.2978,0.1022,0.679,0.3088,0.3906
"396",0.32,0.2838,0.1023,0.6719,0.3019,0.3871
"397",0.3208,0.2702,0.1038,0.6599,0.2955,0.38185
"398",0.3234,0.2575,0.1056,-0.0093,0.29045,0.04815
"399",0.3195,0.5836,0.1044,0.9698,0.45155,0.5371
"400",0.3159,0.928,0.1049,0.7812,0.62195,0.44305
"401",0.3157,0.9083,0.107,0.0067,0.612,0.05685
"402",0.3159,0.8943,0.107,-3e-04,0.6051,0.05335
"403",0.3165,0.8806,0.1067,0.6578,0.59855,0.38225
"404",0.3226,0.5142,0.1078,-0.0094,0.4184,0.0492
"405",0.3222,0.4797,0.1073,0.9637,0.40095,0.5355
"406",0.3196,0.746,0.1074,0.9356,0.5328,0.5215
"407",0.3221,0.7277,0.1067,0.9256,0.5249,0.51615
"408",0.3229,0.5695,0.1075,0.9186,0.4462,0.51305
"409",0.324,0.4067,0.1078,0.7861,0.36535,0.44695
"410",0.3221,0.6769,0.11,0.0046,0.4995,0.0573
"411",0.3233,0.6592,0.1089,0.9105,0.49125,0.5097
"412",0.3202,0.8592,0.1096,0.6567,0.5897,0.38315
"413",0.3202,0.8389,0.1114,-0.0025,0.57955,0.05445
"414",0.3204,0.8249,0.1103,0.9586,0.57265,0.53445
"415",0.3233,0.8133,0.1103,0.9415,0.5683,0.5259
"416",0.3265,0.4982,0.1107,0.789,0.41235,0.44985
"417",0.3298,0.2398,0.1129,-0.0085,0.2848,0.0522
"418",0.3301,0.2238,0.1118,0.9495,0.27695,0.53065
"419",0.3298,0.384,0.1119,0.9034,0.3569,0.50765
"420",0.3261,0.7661,0.1119,0.8973,0.5461,0.5046
"421",0.3294,0.5521,0.1126,0.6566,0.44075,0.3846
"422",0.3283,0.7078,0.1125,0.9575,0.51805,0.535
"423",0.3308,0.6888,0.1137,0.791,0.5098,0.45235
"424",0.3342,0.3622,0.1159,-0.0066,0.3482,0.05465
"425",0.3363,0.2162,0.1149,0.8912,0.27625,0.50305
"426",0.3302,0.6416,0.1155,0.6565,0.4859,0.386
