turk;turk2
806.64;213.93
802.97;217.71
799.83;220.95
787.78;233.38
784.12;237.16
780.98;240.4
719.19;304.14
529.09;500.25
525.42;504.03
522.28;507.27
510.23;519.7
485.62;545.09
479.34;551.57
137.9;903.8
119.22;923.06
815.53;204.76
796.16;224.74
506.04;524.03
502.38;527.81
499.23;531.05
496.09;534.29
492.95;537.53
489.81;540.77
475.67;555.36
141.3;900.29
116.68;925.68
810.81;209.62
791.96;229.07
776.78;244.74
772.59;249.06
769.45;252.3
766.3;255.54
763.16;258.78
760.02;262.02
756.88;265.27
753.74;268.51
750.59;271.75
747.45;274.99
744.31;278.23
741.17;281.47
738.02;284.71
735.67;287.14
732.79;290.11
729.65;293.35
558.93;469.46
555.26;473.25
551.94;476.67
548.8;479.92
545.66;483.16
542.52;486.4
539.38;489.64
536.23;492.88
533.09;496.12
518.5;511.18
514.24;515.57
144.43;897.06
134.75;907.05
130.56;911.37
127.41;914.62
124.27;917.86
121.13;921.1
819.71;200.45
806.62;213.95
802.96;217.73
799.81;220.98
787.77;233.4
784.1;237.18
780.96;240.42
529.86;499.46
526.1;503.33
522.96;506.57
511;518.91
485.87;544.84
482.11;548.71
478.97;551.95
472.83;558.29
814.99;205.32
796.14;224.77
507.59;522.43
503.75;526.39
500.61;529.63
497.47;532.87
494.33;536.11
491.19;539.35
488.22;542.42
476.52;554.48
469.89;561.33
148.09;893.29
138.66;903.02
116.67;925.7
113.61;928.86
823.89;196.14
810.8;209.65
791.95;229.09
776.76;244.76
772.57;249.08
769.43;252.32
766.29;255.56
763.14;258.81
760;262.05
756.86;265.29
753.72;268.53
750.58;271.77
747.96;274.47
744.3;278.25
547.39;481.37
543.55;485.34
540.41;488.58
537.26;491.82
534.12;495.06
518.85;510.82
515.27;514.51
466.57;564.75
143.11;898.43
133.68;908.16
129.49;912.48
126.35;915.72
123.21;918.96
120.07;922.2
14.545;1031.1
10.966;1034.7
819.17;201.01
806.6;213.98
802.94;217.76
799.8;221
787.75;233.42
784.09;237.2
780.94;240.44
531.41;497.86
527.48;501.91
524.34;505.15
521.72;507.86
512.56;517.31
484.54;546.21
480.35;550.53
151.74;889.52
19.094;1026.4
7.2075;1038.6
828.07;191.83
814.98;205.34
796.12;224.79
507.58;522.45
503.39;526.77
500.25;530.01
497.1;533.25
493.96;536.49
490.82;539.74
488.2;542.44
476.16;554.86
471.97;559.18
468.83;562.43
463.8;567.61
147.02;894.39
137.73;903.98
116.28;926.11
112.37;930.14
23.698;1021.6
823.35;196.7
810.78;209.67
791.93;229.12
776.74;244.78
772.55;249.1
769.41;252.34
766.27;255.59
763.13;258.83
760.33;261.71
757.63;264.5
754.75;267.46
535.85;493.28
517.63;512.09
154.87;886.3
142.31;899.26
133.67;908.17
127.39;914.65
123.89;918.26
120.75;921.5
26.834;1018.4
14.266;1031.3
11.124;1034.6
4.3158;1041.6
832.25;187.53
819.15;201.03
806.59;214
802.92;217.78
799.78;221.02
787.73;233.45
784.07;237.22
780.93;240.47
531.66;497.61
528.16;501.21
525.02;504.46
521.88;507.7
513.06;516.79
484.78;545.96
481.03;549.83
459.78;571.76
150.15;891.17
29.97;1015.1
20.544;1024.9
17.402;1028.1
7.9758;1037.8
827.7;192.21
815.13;205.18
796.28;224.63
509.65;520.31
505.81;524.27
502.67;527.51
499.53;530.75
496.39;534
493.25;537.24
490.1;540.48
487.14;543.54
478.23;552.72
474.39;556.68
471.25;559.93
468.11;563.17
464.97;566.41
462;569.47
456.63;575.01
158;883.07
145.57;895.9
116.89;925.48
112.71;929.8
110.88;931.69
33.367;1011.6
23.941;1021.4
2.0772;1043.9
836.16;183.49
823.59;196.45
811.03;209.42
792.17;228.87
776.46;245.07
772.89;248.76
769.74;252.01
766.78;255.06
764.16;257.76
518.03;511.67
153.29;887.94
121.43;920.8
37.027;1007.9
27.601;1017.6
14.666;1030.9
10.408;1035.3
5.6063;1040.3
-0.80881;1046.9
831.18;188.63
818.61;201.59
806.04;214.56
801.86;218.88
798.71;222.12
787.19;234.01
783;238.33
779.86;241.57
524.31;505.19
521.17;508.44
514.88;514.92
483.46;547.34
453.61;578.13
161.13;879.84
148.83;892.54
19.74;1025.7
839.55;179.99
826.46;193.5
813.89;206.46
795.04;225.91
511.99;517.9
508.24;521.77
505.1;525.01
501.96;528.25
498.81;531.5
495.67;534.74
492.53;537.98
489.39;541.22
486.25;544.46
480.57;550.32
476.82;554.19
473.68;557.43
470.54;560.67
467.39;563.91
464.25;567.15
461.11;570.39
457.97;573.63
156.68;884.44
118.34;923.99
114.09;928.38
111.29;931.26
41.467;1003.3
32.041;1013
23.663;1021.7
835.01;184.68
822.44;197.64
809.87;210.61
791.02;230.06
776.19;245.36
773.05;248.6
770.43;251.3
517.49;512.23
449.8;582.06
164;876.89
151.85;889.42
36.748;1008.2
27.453;1017.8
6.6364;1039.2
3.0593;1042.9
-0.082752;1046.2
-3.0503;1049.2
843.47;175.95
830.9;188.92
818.33;201.88
805.77;214.85
802.19;218.54
799.05;221.78
786.91;234.3
783.34;237.99
780.37;241.05
454.38;577.34
45.645;998.99
838.49;181.09
825.92;194.06
813.35;207.02
794.5;226.47
511.72;518.19
508.22;521.79
505.08;525.03
501.94;528.28
498.8;531.52
495.66;534.76
492.51;538
489.37;541.24
486.23;544.48
483.09;547.72
479.95;550.97
476.8;554.21
473.66;557.45
470.52;560.69
467.38;563.93
464.23;567.17
461.09;570.41
457.95;573.65
446.46;585.51
160.06;880.95
155.87;885.28
120;922.28
116.86;925.52
112.67;929.84
40.926;1003.9
32.548;1012.5
847.13;172.19
833.95;185.78
821.38;198.75
808.81;211.71
789.96;231.16
451.22;580.6
168.17;872.59
163.99;876.91
152.99;888.25
49.823;994.68
36.862;1008
28.883;1016.3
7.6665;1038.2
4.0894;1041.9
0.94734;1045.1
-2.1947;1048.3
-4.9877;1051.2
842.41;177.05
829.84;190.02
817.27;202.99
804.7;215.95
801.12;219.64
797.98;222.88
786.64;234.58
782.98;238.36
454.36;577.36
442.58;589.52
45.104;999.55
849.99;169.23
837.42;182.2
824.86;195.16
812.29;208.13
793.44;227.57
506.47;523.61
502.8;527.39
499.83;530.46
496.69;533.7
493.54;536.94
490.4;540.18
487.26;543.42
484.12;546.67
480.98;549.91
477.83;553.15
474.69;556.39
471.55;559.63
468.41;562.87
465.26;566.11
462.12;569.35
458.98;572.6
447.02;584.93
160.83;880.16
156.65;884.48
119.99;922.3
116.84;925.54
112.86;929.65
54.001;990.37
41.17;1003.6
845.45;173.92
832.88;186.88
820.31;199.85
807.75;212.81
789.24;231.9
439.69;592.5
171.3;869.37
167.11;873.69
164.49;876.39
49.458;995.06
37.768;1007.1
8.5397;1037.3
4.4213;1041.5
1.2792;1044.8
-1.8629;1048
-4.9162;1051.1
853.91;165.19
841.34;178.16
828.77;191.12
816.21;204.09
803.64;217.05
800.06;220.74
796.57;224.35
455.91;575.76
452.34;579.45
449.19;582.69
443.34;588.73
57.918;986.33
45.35;999.3
849.19;170.06
836.62;183.03
824.06;195.99
811.49;208.96
793.43;227.59
495.97;534.44
492.83;537.68
489.69;540.92
486.54;544.17
483.4;547.41
480.26;550.65
477.12;553.89
473.98;557.13
470.83;560.37
467.69;563.61
464.55;566.86
461.41;570.1
458.79;572.8
447.09;584.86
437.32;594.95
161.6;879.37
119.97;922.32
116.83;925.56
113.86;928.63
52.936;991.47
857.04;161.96
844.47;174.93
831.9;187.9
819.34;200.86
806.77;213.83
175.47;865.07
171.28;869.39
168.14;872.63
165;875.87
61.572;982.56
48.568;995.98
11.036;1034.7
6.8478;1039
3.7058;1042.3
0.56369;1045.5
-2.5784;1048.7
-5.0222;1051.3
852.06;167.11
839.49;180.07
826.92;193.04
814.35;206
802.1;218.64
798.65;222.2
455.11;576.59
450.92;580.92
442.54;589.56
433.33;599.07
56.853;987.43
860.7;158.2
847.52;171.79
834.95;184.76
822.38;197.72
809.81;210.69
489.67;540.94
486.88;543.83
483.73;547.07
480.59;550.31
477.45;553.55
474.31;556.79
471.17;560.03
468.02;563.28
464.88;566.52
461.74;569.76
459.3;572.28
447.08;584.88
437.65;594.61
162.9;878.04
121;921.26
117.86;924.51
114.89;927.57
64.44;979.61
52.658;991.76
855.98;163.07
843.41;176.03
830.84;189
818.27;201.96
805.7;214.93
429.44;603.08
178.6;861.85
174.41;866.17
171.27;869.41
168.12;872.65
166.03;874.8
59.897;984.3
13.114;1032.6
8.9253;1036.9
5.7832;1040.1
2.6411;1043.4
-0.50093;1046.6
-2.5899;1048.8
863.83;154.97
851.26;167.94
838.69;180.9
826.12;193.87
813.55;206.83
456.14;575.54
451.95;579.86
448.81;583.1
443.57;588.5
439.38;592.82
434.15;598.23
68.357;975.57
56.182;988.13
859.37;159.57
846.8;172.54
834.23;185.5
821.66;198.47
809.62;210.89
484.42;546.37
480.92;549.97
477.78;553.21
474.64;556.45
471.5;559.7
468.36;562.94
465.21;566.18
462.07;569.42
459.28;572.3
425.76;606.88
120.56;921.72
116.62;925.79
115.23;927.22
63.638;980.44
866.43;152.28
853.86;165.25
841.3;178.21
828.73;191.18
816.16;204.15
429.68;602.83
181.72;858.63
177.53;862.95
174.39;866.19
171.25;869.43
169.16;871.58
71.488;972.34
59.443;984.77
15.978;1029.6
12.399;1033.3
9.2572;1036.5
6.1151;1039.8
3.1476;1042.8
1.0586;1045
812.75;207.66
455.08;576.64
450.89;580.96
447.75;584.2
444.6;587.44
441.46;590.68
438.32;593.92
435.18;597.17
432.56;599.87
66.769;977.21
869.56;149.06
863.28;155.54
859.7;159.23
856.56;162.47
850.71;168.5
847.13;172.2
843.99;175.44
838.14;181.47
834.56;185.16
831.42;188.4
825.57;194.44
822;198.13
818.5;201.73
477.07;553.95
474.27;556.84
471.13;560.08
467.99;563.32
464.85;566.56
461.7;569.8
459.26;572.32
424.44;608.25
421.38;611.4
121.59;920.66
117.82;924.55
116.26;926.16
74.618;969.12
63.01;981.09
19.369;1026.1
815.36;204.97
429.3;603.23
184.85;855.41
180.66;859.73
177.52;862.97
174.55;866.03
172.28;868.36
69.899;973.99
13.866;1031.8
10.287;1035.5
6.7946;1039.1
4.7071;1041.2
872.69;145.83
866.41;152.31
853.84;165.28
841.27;178.24
828.7;191.21
455.84;575.85
452.27;579.54
449.12;582.78
445.98;586.02
442.84;589.26
439.7;592.5
436.56;595.75
433.41;598.99
418.93;613.93
77.749;965.89
65.969;978.04
861.69;157.18
857.94;161.05
849.12;170.15
