q1;q2
0.5321;-0.1020
0.5324;-0.2325
0.5334;-0.0449
0.5335;-0.0941
0.5326;0.8018
0.5342;-0.0550
0.5342;-0.0610
0.5353;-0.2155
0.5353;-0.2225
0.5356;-0.2349
0.5355;0.7937
0.5383;-0.2106
0.5376;-0.2336
0.5385;0.7895
0.5412;-0.2057
0.5414;0.7844
0.5440;-0.1676
0.5440;-0.1757
0.5441;-0.1987
0.5448;-0.1837
0.5448;-0.1917
0.5444;0.7813
0.5469;-0.1647
0.5473;0.7822
0.5499;-0.1638
0.5502;0.7892
0.5528;-0.1639
0.5531;0.7971
0.5556;-0.0928
0.5558;-0.1620
0.5570;-0.0757
0.5570;-0.0828
0.5571;-0.1018
0.5571;-0.1199
0.5571;-0.1269
0.5561;0.8000
0.5584;-0.0517
0.5577;-0.0597
0.5577;-0.0677
0.5588;-0.1112
0.5586;-0.1350
0.5587;-0.1591
0.5601;-0.1441
0.5601;-0.1521
0.5590;0.8009
0.5613;-0.0468
0.5620;0.7988
0.5643;-0.0469
0.5649;0.7957
0.5672;-0.0490
0.5679;0.7886
0.5702;-0.0521
0.5708;0.7805
0.5731;-0.0582
0.5738;0.7744
0.5753;-0.0603
0.5761;-0.0673
0.5776;-0.0764
0.5767;0.7703
0.5805;-0.0805
0.5797;0.7682
0.5835;-0.0816
0.5826;0.7681
0.5864;-0.0827
0.5856;0.7660
0.5893;-0.0828
0.5885;0.7599
0.5923;-0.0829
0.5915;0.7518
0.5915;0.7457
0.5952;-0.0830
0.5945;0.7396
0.5982;-0.0821
0.5974;0.7355
0.6011;-0.0812
0.6003;0.7354
0.6018;0.7424
0.6040;-0.0792
0.6032;0.7504
0.6070;-0.0753
0.6062;0.7513
0.6099;-0.0714
0.6091;0.7492
0.6106;0.7441
0.6128;-0.0675
0.6136;0.7390
0.6158;-0.0646
0.6165;0.7319
0.6187;-0.0647
0.6195;0.7288
0.6216;-0.0658
0.6224;0.7287
0.6246;-0.0658
0.6253;0.7286
0.6275;-0.0659
0.6283;0.7285
0.6304;-0.0580
0.6297;-0.0640
0.6319;-0.0490
0.6312;0.7284
0.6333;-0.0420
0.6342;0.7253
0.6363;-0.0371
0.6371;0.7212
0.6392;-0.0342
0.6401;0.7171
0.6421;-0.0323
0.6430;0.7140
0.6451;-0.0314
0.6460;0.7139
0.6480;-0.0305
0.6489;0.7148
0.6509;-0.0306
0.6518;0.7187
0.6539;-0.0317
0.6548;0.7237
0.6568;-0.0338
0.6577;0.7286
